Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000123892,RAB38,Gene Expression,0.7178331340323756,0.0,0.0,40240,6.5974720938659965,2280
ENSG00000151025,GPR158,Gene Expression,0.7171396405365019,0.0,0.0,12406,2.40519152893638,1664
ENSG00000175130,MARCKSL1,Gene Expression,0.7168676377341671,0.0,0.0,129971,22.777027748534035,2624
ENSG00000168843,FSTL5,Gene Expression,0.7163073435133516,0.0,0.0,14452,2.0346915759288176,1779
ENSG00000153944,MSI2,Gene Expression,0.7156161837223813,0.0,0.0,76631,13.08054443106213,2463
ENSG00000108821,COL1A1,Gene Expression,0.7154457915368362,0.0,0.0,167509,155.97537137874565,3341
ENSG00000103647,CORO2B,Gene Expression,0.7152902702761906,0.0,0.0,38263,6.1876218864749415,2151
ENSG00000070269,TMEM260,Gene Expression,0.7150461219520055,0.0,0.0,39374,6.5476129923492845,2249
ENSG00000146426,TIAM2,Gene Expression,0.7149274246966677,0.0,0.0,20870,3.550396354040584,2111
ENSG00000170624,SGCD,Gene Expression,0.7140373885912671,0.0,0.0,29517,5.04540501003813,2193
ENSG00000011465,DCN,Gene Expression,0.7139167691442891,0.0,0.0,14653,21.127803865152007,2526
ENSG00000156113,KCNMA1,Gene Expression,0.7138380726334428,0.0,0.0,78985,14.383140025342744,2443
ENSG00000145335,SNCA,Gene Expression,0.7128765528948885,0.0,0.0,216724,35.9788197902778,2736
ENSG00000101850,GPR143,Gene Expression,0.7116717208182518,0.0,0.0,44386,7.659429727302768,2229
ENSG00000095713,CRTAC1,Gene Expression,0.7099073954206693,0.0,0.0,24918,4.54863276383735,2044
ENSG00000100146,SOX10,Gene Expression,0.708624522048761,0.0,0.0,74129,12.486641627273366,2388
ENSG00000147408,CSGALNACT1,Gene Expression,0.7085362186160263,0.0,0.0,71164,12.639436426011162,2424
ENSG00000170369,CST2,Gene Expression,0.708439029971565,0.0,0.0,11229,1.8889936729791945,1540
ENSG00000143341,HMCN1,Gene Expression,0.7083922782611123,0.0,0.0,92725,16.058031973631078,2540
ENSG00000187098,MITF,Gene Expression,0.7083891908726319,0.0,0.0,55327,9.418315214343698,2325
ENSG00000081985,IL12RB2,Gene Expression,0.7082163149785837,0.0,0.0,23062,3.901902359006172,2110
ENSG00000153179,RASSF3,Gene Expression,0.7079978051840512,0.0,0.0,73360,12.029965147560766,2408
ENSG00000211675,IGLC1,Gene Expression,0.7070402460748471,0.0,0.0,54872,27.64115127963122,1626
ENSG00000073060,SCARB1,Gene Expression,0.7065864606746493,0.0,0.0,49913,8.616529233821575,2347
ENSG00000077009,NMRK2,Gene Expression,0.7065480685333085,0.0,0.0,13375,2.2437456097472634,1899
ENSG00000136160,EDNRB,Gene Expression,0.7061214326831065,0.0,0.0,78811,13.539797470658659,2415
ENSG00000143520,FLG2,Gene Expression,0.7052643385332784,0.0,0.0,10010,15.423321326915525,695
ENSG00000169851,PCDH7,Gene Expression,0.70476063843417,0.0,0.0,49012,8.781488561834951,2388
ENSG00000118242,MREG,Gene Expression,0.7047456032384732,0.0,0.0,21742,3.945359012627437,2126
ENSG00000144791,LIMD1,Gene Expression,0.7045430378340309,0.0,0.0,65856,11.6213838358354,2416
ENSG00000178363,CALML3,Gene Expression,0.7038471703294017,0.0,0.0,5915,6.389293087514716,831
ENSG00000117461,PIK3R3,Gene Expression,0.7032383709049256,0.0,0.0,60970,10.443533087296759,2440
ENSG00000197971,MBP,Gene Expression,0.7022469256429199,0.0,0.0,131563,20.791882275451954,2586
